item_id,item_label,reason,parent_item_id,exclude_other_parents
Q1139136,horrorcore,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q2043175,hyphy,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q17119147,indie hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q1077172,instrumental hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q255406,jazz rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q124692508,jerk,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q110745638,jigg,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q108807663,jook,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q97265899,lofi hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q122474149,lowend,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q17995961,mobb music,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q30638997,mumble rap,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q1754592,nerdcore,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q112939067,nervous music,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q4045303,new-school hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q3207645,noise hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q868855,old-school hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q3135792,orchestral hip hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q140723731,pimp rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q969663,political hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q2572585,pop rap,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q107572242,progressive rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q2106887,psychedelic hip-hop,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q121667432,psychedelic rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q7293812,rap opera,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q6010,rapping,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q109941986,ratchet music,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q106559862,shadow rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q2991840,snap music,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q106876811,spaza,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q137441526,stoner rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q127606451,street pop,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q106634977,thug rap,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
Q2913982,trap music,user-requested regrouping under hip-hop subgroup LOCAL:pop-hip-hop,LOCAL:pop-hip-hop,
Q1046801,turntablism,user-requested regrouping under hip-hop subgroup LOCAL:core-hip-hop,LOCAL:core-hip-hop,
LOCAL:pop-funk,Pop funk,user-requested new intermediate node under LOCAL:disco-funk,LOCAL:disco-funk,
LOCAL:core-funk,Core funk,user-requested new intermediate node under LOCAL:disco-funk,LOCAL:disco-funk,
Q1325963,electro funk,"user-requested reparent under LOCAL:pop-funk, moved out from under funk",LOCAL:pop-funk,
Q2697917,go-go,"user-requested reparent under LOCAL:pop-funk, moved out from under funk",LOCAL:pop-funk,
Q7067688,nu-funk,"user-requested reparent under LOCAL:pop-funk, moved out from under funk",LOCAL:pop-funk,
Q3925627,punk funk,"user-requested reparent under LOCAL:pop-funk, moved out from under funk",LOCAL:pop-funk,
Q30632022,synth funk,"user-requested reparent under LOCAL:pop-funk, moved out from under funk",LOCAL:pop-funk,
LOCAL:pop-jazz,Pop jazz,user-requested new intermediate node under jazz music,Q8341,
LOCAL:core-jazz,Core jazz,user-requested new intermediate node under jazz music,Q8341,
Q831354,smooth jazz,"user-requested regrouping under new synthetic ""Pop jazz"" node",LOCAL:pop-jazz,
Q1530455,vocal jazz,"user-requested regrouping under new synthetic ""Pop jazz"" node",LOCAL:pop-jazz,
Q5165334,Continental jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q906647,Dixieland jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q98528206,ECM style jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q11901983,Fjord jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q5526306,Gas pipe clarinet,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1659646,Imaginary folk music,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1713462,Jungle-style,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q166813,Kansas City jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q837389,Latin jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1982426,New Orleans jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q21856748,Tailgate,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1548603,West Coast jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q110038872,ambient jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q136342757,ameriachi,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q632393,archaic jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q790188,avant-garde jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q105513,bebop,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q105756581,big band music,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q5069525,chamber jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q5928480,contemporary jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q327547,cool jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q113493826,crime jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q846833,crossover jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q31837446,dark jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q114907074,early jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1371364,ethno jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q98528203,experimental big band,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q5464464,folk jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q16575000,high brow,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q136508884,hot jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q65937893,instrumental jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1684520,jazz blues,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q105527,jazz fusion,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q6168405,jazz poetry,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q591990,jazz standard,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q6168411,jazz waltz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q38656,jazz-funk,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q115616295,jive,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1737332,mainstream jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1127530,modal jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1750049,modern jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1136331,nu jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q11796526,off jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q3807537,orchestral jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1092837,post-bop,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q12372810,progressive jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q183016,ska jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1615483,soul jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q98528204,spiritual jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q3967328,spy music,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q16636260,straight jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q137799958,sweet jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q203775,swing,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q539089,third stream,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q492643,trad jazz,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q4020968,world fusion,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q669738,yass,"user-requested regrouping under new synthetic ""Core jazz"" node (remaining jazz subgenres not routed to Pop jazz)",LOCAL:core-jazz,
Q1374731,Eurodisco,"child of pop music but a disco subgenre by style, not a pop subgenre; re-parented under disco",Q58339,true
Q2104067,jazz pop,"child of pop music but a jazz/pop-crossover subgenre by style; re-parented under the synthetic ""Pop jazz"" node alongside smooth jazz/vocal jazz",LOCAL:pop-jazz,true
Q2237415,music and mathematics,"root item with no P279/P361 parent; an interdisciplinary/theoretical music topic (relationships between music and mathematics) with no single national/ethnic home so manual_regional_overrides.csv does not apply, sorted alongside biomusic under experimental music",Q1640319,
